Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs",Name,"Public Workspace Channels","Messages Posted"
2017-09-18,14,14,0,14,11,14,13,20,0,0,61,0.2469,0,0.7531,0.52,0,0.48,0,26,20331
2017-09-19,14,14,0,13,11,14,13,125,0,0,141,0.4699,0,0.5301,0.639,0,0.361,0,26,20622
2017-09-20,14,14,0,13,12,14,13,54,0,0,71,0.432,0,0.568,0.6709,0,0.3291,0,27,20768
2017-09-21,14,14,0,13,11,14,13,31,0,0,88,0.2605,0,0.7395,0.4938,0,0.5062,0,27,20899
2017-09-22,14,14,0,10,6,14,13,2,0,0,83,0.0235,0,0.9765,0.08,0,0.92,0,27,20987
2017-09-23,14,14,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,27,20987
2017-09-24,14,14,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,27,20987
2017-09-25,14,14,0,13,11,13,13,32,0,0,107,0.2302,0,0.7698,0.5483,0,0.4517,0,27,21135
2017-09-26,14,14,0,14,12,14,14,26,0,0,54,0.325,0,0.675,0.5947,0,0.4053,0,27,21221
2017-09-27,14,14,0,14,13,14,14,10,0,0,266,0.0362,0,0.9638,0.1462,0,0.8538,0,27,21501
2017-09-28,14,14,0,14,10,14,14,11,0,0,73,0.131,0,0.869,0.4076,0,0.5924,0,27,21595
2017-09-29,14,14,0,12,8,14,14,13,0,0,1,0.9286,0,0.0714,0.9718,0,0.0282,0,27,21611
2017-09-30,14,14,0,8,3,14,14,3,0,0,0,1,0,0,1,0,0,0,27,21614
2017-10-01,14,14,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,27,21614
2017-10-02,14,14,0,14,14,14,14,33,0,0,238,0.1218,0,0.8782,0.2281,0,0.7719,0,30,21901
2017-10-03,14,14,0,13,12,14,14,15,0,0,204,0.0685,0,0.9315,0.215,0,0.785,0,30,22125
2017-10-04,14,14,0,13,12,14,14,42,0,0,443,0.0866,0,0.9134,0.1855,0,0.8145,0,29,22643
2017-10-05,14,14,0,14,12,14,14,10,0,0,77,0.1149,0,0.8851,0.4137,0,0.5863,0,29,22738
2017-10-06,14,14,0,13,12,14,14,20,0,0,48,0.2941,0,0.7059,0.4854,0,0.5146,0,30,22821
2017-10-07,14,14,0,5,3,14,14,3,0,0,2,0.6,0,0.4,0.8235,0,0.1765,0,30,22826
2017-10-08,14,14,0,3,1,14,14,0,0,0,1,0,0,1,0.75,0,0.25,0,30,22827
2017-10-09,14,14,0,14,14,14,14,28,0,0,118,0.1918,0,0.8082,0.4583,0,0.5417,0,30,22979
2017-10-10,14,14,0,14,13,14,14,29,0,0,204,0.1245,0,0.8755,0.3051,0,0.6949,0,30,23218
2017-10-11,14,14,0,13,10,14,14,25,0,0,162,0.1337,0,0.8663,0.3256,0,0.6744,0,30,23414
2017-10-12,14,14,0,12,11,14,14,20,0,0,178,0.101,0,0.899,0.2494,0,0.7506,0,30,23627
2017-10-13,14,14,0,13,12,14,14,29,0,0,284,0.0927,0,0.9073,0.2043,0,0.7957,0,30,23959
2017-10-14,14,14,0,3,1,14,14,2,0,0,0,1,0,0,1,0,0,0,31,23963
2017-10-15,14,14,0,6,3,14,14,2,0,0,4,0.3333,0,0.6667,0.6875,0,0.3125,0,31,23973
2017-10-16,14,14,0,13,9,14,14,17,0,0,109,0.1349,0,0.8651,0.3754,0,0.6246,0,31,24107
2017-10-17,14,14,0,12,9,14,14,5,0,0,171,0.0284,0,0.9716,0.1265,0,0.8735,0,31,24294
2017-10-18,14,14,0,12,12,13,13,16,0,0,70,0.186,0,0.814,0.2817,0,0.7183,0,31,24386
2017-10-19,14,14,0,13,10,13,13,16,0,0,34,0.32,0,0.68,0.5385,0,0.4615,0,31,24444
2017-10-20,14,14,0,12,10,13,13,28,0,0,120,0.1892,0,0.8108,0.3735,0,0.6265,0,31,24600
2017-10-21,14,14,0,6,3,13,13,0,0,0,6,0,0,1,0.25,0,0.75,0,31,24606
2017-10-22,14,14,0,9,4,13,13,8,0,0,6,0.5714,0,0.4286,0.7105,0,0.2895,0,31,24621
2017-10-23,14,14,0,12,11,13,13,13,0,0,88,0.1287,0,0.8713,0.3398,0,0.6602,0,31,24729
2017-10-24,14,14,0,12,9,13,13,1,0,0,103,0.0096,0,0.9904,0.119,0,0.881,0,31,24836
